politician_id,display_name,category,field,value,raw_text,review_status,evidence_id,source_id,source_kind,source_org,source_url,fetched_at,license_note
open-assembly-T2T8225E,강경숙,identity,party,조국혁신당,조국혁신당,reviewing,open-assembly-T2T8225E-party,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,district,비례대표,비례대표,reviewing,open-assembly-T2T8225E-district,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,position,국회의원,국회의원,reviewing,open-assembly-T2T8225E-position,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,committee_role,위원,위원,reviewing,open-assembly-T2T8225E-committee-role,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,office_phone,02-784-5601,02-784-5601,reviewing,open-assembly-T2T8225E-office_phone,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,office_email,gracesook52@rebuildingk.kr,gracesook52@rebuildingk.kr,reviewing,open-assembly-T2T8225E-office_email,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,office_room,의원회관 515호,의원회관 515호,reviewing,open-assembly-T2T8225E-office_room,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-T2T8225E,강경숙,identity,registered_channel_url,https://blog.naver.com/grace6752,https://blog.naver.com/grace6752,reviewing,open-assembly-T2T8225E-registered_channel_url,open-assembly-T2T8225E,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-L2I9861C,강대식,identity,party,국민의힘,국민의힘,reviewing,open-assembly-L2I9861C-party,open-assembly-L2I9861C,open_assembly,열린국회정보,https://open.assembly.go.kr/portal/openapi/nwvrqwxyaytdsfvhu?Type=json&pIndex=1&pSize=300,2026-06-14T13:26:52.493Z,"출처: 열린국회정보, 국회의원 인적사항 (공공누리 제1유형, 출처표시), https://open.assembly.go.kr"
open-assembly-L2I9861C,강대식,identity,party,국민의힘,국민의힘,reviewing,nec-winner-68-party,nec-winner-68,nec,중앙선거관리위원회,http://apis.data.go.kr/9760000/WinnerInfoInqireService2/getWinnerInfoInqire?sgId=20240410&sgTypecode=2&numOfRows=100&resultType=json,2026-06-14T13:26:52.495Z,"출처: 중앙선거관리위원회, 당선인 정보 조회 서비스 (이용허락범위 제한 없음), https://www.data.go.kr/data/15000864/openapi.do"
